shortlist_order,shortlist_id,candidate_id,category,category_zh,name_local,name,xaero_name,xaero_x,xaero_y,xaero_z,mc_x,mc_z,lat,lon,osm_ref,osm_version,osm_timestamp_utc,review_status
1,ueno-shortlist-01,ueno-osm-candidate-001,culture,文化 / 展览 / 娱乐,Ame Yocco Market,Ame Yocco Market,U01 Ame Yocco Market,-1185,-8,551,-1184.9,550.8,35.7089093,139.7747832,node/5793910853,1,2018-07-29T14:16:48Z,pending_human_minecraft_confirmation
2,ueno-shortlist-02,ueno-osm-candidate-003,culture,文化 / 展览 / 娱乐,アメヤ横丁,Ameya-Yokochō,U02 アメヤ横丁,-1324,-4,579,-1321.9,579.4,35.7100592,139.7745428,node/4496960001,5,2024-09-03T18:05:54Z,pending_human_minecraft_confirmation
3,ueno-shortlist-03,ueno-osm-candidate-005,culture,文化 / 展览 / 娱乐,お江戸上野広小路亭,Oedo Ueno-hirokoji Tei,U03 お江戸上野広小路亭,-1067,-7,744,-1056.1,744.5,35.7078973,139.7727462,node/3397736971,3,2019-06-12T05:15:14Z,pending_human_minecraft_confirmation
4,ueno-shortlist-04,ueno-osm-candidate-006,culture,文化 / 展览 / 娱乐,オークラシアター,Okura Theater,U04 オークラシアター,-1359,-4,708,-1358.0,709.2,35.710401,139.7732259,way/175407654,7,2023-09-11T11:16:50Z,pending_human_minecraft_confirmation
5,ueno-shortlist-05,ueno-osm-candidate-008,culture,文化 / 展览 / 娱乐,下町風俗資料館,Shitamachi Museum,U05 下町風俗資料館,-1321,-7,798,-1320.9,797.8,35.7101195,139.7723027,way/145344198,29,2023-11-09T06:35:32Z,pending_human_minecraft_confirmation
6,ueno-shortlist-06,ueno-osm-candidate-010,culture,文化 / 展览 / 娱乐,鈴本演芸場,Suzumoto Entertainment Hall,U06 鈴本演芸場,-1200,-7,714,-1210.1,721.2,35.709173,139.7730454,node/1828058916,3,2021-10-25T13:31:25Z,pending_human_minecraft_confirmation
7,ueno-shortlist-07,ueno-osm-candidate-011,culture,文化 / 展览 / 娱乐,Taito Station,Taito Station,U07 Taito Station,-1170,-7,613,-1169.9,613.1,35.708804,139.774138,node/10692944607,2,2023-07-27T12:19:35Z,pending_human_minecraft_confirmation
8,ueno-shortlist-08,ueno-osm-candidate-012,culture,文化 / 展览 / 娱乐,上野恩賜公園野外ステージ（水上音楽堂）,Ueno Imperial Grant Park Open-Air Stage,U08 上野恩賜公園野外ステージ（水上音楽堂）,-1269,-6,980,-1268.9,980.2,35.7097445,139.7704105,way/145344116,25,2023-08-22T03:37:39Z,pending_human_minecraft_confirmation
9,ueno-shortlist-09,ueno-osm-candidate-013,culture,文化 / 展览 / 娱乐,びわ湖長浜観音ハウス,びわ湖長浜観音ハウス,U09 びわ湖長浜観音ハウス,-1457,-6,731,-1457.3,730.6,35.7112349,139.7730445,node/4987573179,1,2017-07-23T05:52:07Z,pending_human_minecraft_confirmation
10,ueno-shortlist-10,ueno-osm-candidate-014,culture,文化 / 展览 / 娱乐,アートスペース喜屋,アートスペース喜屋,U10 アートスペース喜屋,-1171,-6,937,-1169.7,936.4,35.7089044,139.7708217,node/5235896225,1,2017-11-18T06:38:24Z,pending_human_minecraft_confirmation
11,ueno-shortlist-11,ueno-osm-candidate-017,transport,交通 / 车站 / 路口,京成上野駅,Keisei Ueno Station,U11 京成上野駅,-1449,-5,646,-1448.7,645.6,35.7111363,139.7739137,node/3259269217,4,2019-12-07T20:37:42Z,pending_human_minecraft_confirmation
12,ueno-shortlist-12,ueno-osm-candidate-018,transport,交通 / 车站 / 路口,京成上野,Keisei-Ueno,U12 京成上野,-1424,-5,684,-1423.7,684.5,35.7109406,139.7735044,node/2407466991,18,2020-10-25T08:13:58Z,pending_human_minecraft_confirmation
13,ueno-shortlist-13,ueno-osm-candidate-019,transport,交通 / 车站 / 路口,不忍池自転車駐車場,Shinobazu Pond Bicycle Parking,U13 不忍池自転車駐車場,-1318,-6,749,-1318.5,749.7,35.7100848,139.772795,node/3395310508,5,2019-09-28T12:12:26Z,pending_human_minecraft_confirmation
14,ueno-shortlist-14,ueno-osm-candidate-020,transport,交通 / 车站 / 路口,Skyliner,Skyliner,U14 Skyliner,-1433,-6,592,-1433.4,591.7,35.710992,139.7744597,node/4569012091,2,2020-01-19T18:55:27Z,pending_human_minecraft_confirmation
15,ueno-shortlist-15,ueno-osm-candidate-022,transport,交通 / 车站 / 路口,上野四丁目,Ueno 4,U15 上野四丁目,-1282,-6,674,-1281.6,673.8,35.7097529,139.7735592,node/3395310509,6,2022-01-10T12:25:34Z,pending_human_minecraft_confirmation
16,ueno-shortlist-16,ueno-osm-candidate-023,transport,交通 / 车站 / 路口,上野公園,Ueno Park,U16 上野公園,-1278,-6,834,-1278.0,834.3,35.7097739,139.7719114,node/9407435612,2,2022-10-18T13:00:03Z,pending_human_minecraft_confirmation
17,ueno-shortlist-17,ueno-osm-candidate-024,transport,交通 / 车站 / 路口,上野広小路,Ueno-hirokoji,U17 上野広小路,-1070,-7,791,-1066.7,791.4,35.708,139.7722688,node/9407435609,1,2022-01-10T12:25:34Z,pending_human_minecraft_confirmation
18,ueno-shortlist-18,ueno-osm-candidate-025,transport,交通 / 车站 / 路口,上野御徒町,Ueno-okachimachi,U18 上野御徒町,-1068,-7,691,-1067.6,691.0,35.7079766,139.7732996,node/6199814789,6,2021-03-11T05:37:21Z,pending_human_minecraft_confirmation
19,ueno-shortlist-19,ueno-osm-candidate-028,transport,交通 / 车站 / 路口,湯島駅,Yushima Station,U19 湯島駅,-1118,-6,997,-1105.5,998.9,35.708389,139.7701555,node/2192127858,10,2023-07-23T23:20:12Z,pending_human_minecraft_confirmation
20,ueno-shortlist-20,ueno-osm-candidate-030,transport,交通 / 车站 / 路口,水上音楽堂前,水上音楽堂前,U20 水上音楽堂前,-1247,-5,945,-1247.2,945.2,35.7095519,139.770762,node/3259269175,4,2024-06-24T08:48:25Z,pending_human_minecraft_confirmation
21,ueno-shortlist-21,ueno-osm-candidate-031,landmark_history,历史 / 地标 / 信息,駅伝の碑,Ekiden monument,U21 駅伝の碑,-1557,-6,802,-1556.1,802.6,35.71208,139.7723442,node/4959495864,4,2019-03-30T15:01:58Z,pending_human_minecraft_confirmation
22,ueno-shortlist-22,ueno-osm-candidate-033,landmark_history,历史 / 地标 / 信息,高橋尚子 (マラソン),Naoko Takahashi,U22 高橋尚子 (マラソン),-1471,-5,696,-1471.0,696.5,35.7113381,139.7733995,node/5126077187,2,2018-12-12T06:31:31Z,pending_human_minecraft_confirmation
23,ueno-shortlist-23,ueno-osm-candidate-034,landmark_history,历史 / 地标 / 信息,スッポン感謝之塔,スッポン感謝之塔,U23 スッポン感謝之塔,-1554,-6,891,-1553.6,890.8,35.7120875,139.771439,node/4994842570,4,2022-10-15T02:54:38Z,pending_human_minecraft_confirmation
24,ueno-shortlist-24,ueno-osm-candidate-035,landmark_history,历史 / 地标 / 信息,パンダ,パンダ,U24 パンダ,-1365,-5,685,-1364.6,684.8,35.7104482,139.7734784,node/4893262458,1,2017-06-03T06:37:38Z,pending_human_minecraft_confirmation
25,ueno-shortlist-25,ueno-osm-candidate-036,landmark_history,历史 / 地标 / 信息,上野恩賜公園,上野恩賜公園,U25 上野恩賜公園,-1414,-5,678,-1414.3,677.9,35.7108599,139.7735687,node/4990012580,2,2017-07-29T05:36:38Z,pending_human_minecraft_confirmation
26,ueno-shortlist-26,ueno-osm-candidate-038,landmark_history,历史 / 地标 / 信息,不忍池,不忍池,U26 不忍池,-1582,-7,851,-1580.8,854.4,35.7123024,139.7718226,node/6515739586,1,2019-06-02T01:16:50Z,pending_human_minecraft_confirmation
27,ueno-shortlist-27,ueno-osm-candidate-039,landmark_history,历史 / 地标 / 信息,五条天神社旧社地跡,五条天神社旧社地跡,U27 五条天神社旧社地跡,-1430,-6,590,-1429.9,590.2,35.7109626,139.7744744,node/6515752985,1,2019-06-02T01:42:45Z,pending_human_minecraft_confirmation
28,ueno-shortlist-28,ueno-osm-candidate-040,landmark_history,历史 / 地标 / 信息,日蓮上人,日蓮上人,U28 日蓮上人,-1139,-7,568,-1139.4,566.5,35.7085352,139.7746046,node/5463286254,2,2018-03-08T03:57:50Z,pending_human_minecraft_confirmation
29,ueno-shortlist-29,ueno-osm-candidate-044,landmark_history,历史 / 地标 / 信息,蓮観察ゾーン,蓮観察ゾーン,U29 蓮観察ゾーン,-1298,-6,840,-1301.2,840.4,35.7099693,139.7718571,node/4976749505,2,2023-09-19T13:47:30Z,pending_human_minecraft_confirmation
30,ueno-shortlist-30,ueno-osm-candidate-045,landmark_history,历史 / 地标 / 信息,鳥塚,鳥塚,U30 鳥塚,-1543,-6,933,-1542.6,934.9,35.7120096,139.7709814,node/4959476014,3,2017-11-21T12:30:06Z,pending_human_minecraft_confirmation
31,ueno-shortlist-31,ueno-osm-candidate-047,worship,寺社 / 宗教,大黒天堂,Daikokuten Temple,U31 大黒天堂,-1604,-7,897,-1607.2,889.5,35.7125336,139.7714722,way/91725751,24,2023-08-22T03:37:39Z,pending_human_minecraft_confirmation
32,ueno-shortlist-32,ueno-osm-candidate-048,worship,寺社 / 宗教,石橋稲荷,Ishibashi Inari,U32 石橋稲荷,-1140,-7,572,-1137.1,573.4,35.708518,139.7745328,node/5463263862,3,2018-12-12T06:31:34Z,pending_human_minecraft_confirmation
